dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
gsm8k,math,openai/gsm8k,train,168,"Silvia’s bakery is offering 10% on advanced orders over $50.00. She orders 2 quiches for $15.00 each, 6 croissants at $3.",65,40
gsm8k,math,openai/gsm8k,train,408,"Three adults whose average weight is 140 pounds went first in the elevator. Two children whose average weight is 64 pounds also went inside. If an elevator sign reads “Maximum weight 600 pounds."", what is",60,40
gsm8k,math,openai/gsm8k,train,5102,"Loris needs three more books to have the same number as Lamont, who has twice the number of books Darryl has. If Darryl has 20 books, calculate the total number of",45,40
gsm8k,math,openai/gsm8k,train,1934,"Jeff wanted to rent an apartment to live in for the next 5 years until he finishes his studies. He found a nice apartment next to his school, the owner asks Jeff to pay $300 each month",95,40
gsm8k,math,openai/gsm8k,train,5846,John can front squat 80% as much as he back squats. He used to back squat 200 kg but increased that by 50 kg. He can do a triple equal to 90% of the amount he,56,40
gsm8k,math,openai/gsm8k,train,5352,"The sum of Cooper’s, Dante’s, and Maria’s ages is 31. Dante is twice as old as Cooper. Maria is one year older than Dante. How old",43,40
gsm8k,math,openai/gsm8k,train,3485,"Maria went on a trip to Belgium. She paid $300 for the ticket and half of that for the hotel. How much money does she have left, when she had $760 at the beginning?",40,40
gsm8k,math,openai/gsm8k,train,2355,"Debbie works at a post office packing boxes to mail. Each large box takes 4 feet of packing tape to seal, each medium box takes 2 feet of packing tape to seal, and each small box",89,40
gsm8k,math,openai/gsm8k,train,6378,"All 20 of Grant’s baby teeth have fallen out and he has a total of $54 from the tooth fairy. Every time he lost a tooth, he put it under his pillow for the",99,40
gsm8k,math,openai/gsm8k,train,1379,"Lola’s rabbits keep having kittens each spring. During the first spring, her 10 breeding rabbits had 10 times as many kittens as the number of breeding rabbits Lola has, and half of",104,40
gsm8k,math,openai/gsm8k,train,3503,It takes Derek 9 minutes to walk a mile if he doesn't have to walk with his brother. If he has to take his brother it takes 12 minutes to walk a mile. How many minutes longer,56,40
gsm8k,math,openai/gsm8k,train,3540,"Baseball season opened up with the Chicago Cubs at home at Wrigley Field. They scored 2 home runs in the third inning, 1 home run in the fifth inning and 2 more home runs in",84,40
gsm8k,math,openai/gsm8k,train,5950,"During the Mardi Gras parade, Latch caught four less than three times as many necklaces as did Rhonda. If Rhonda caught half as many necklaces as did Boud",64,40
gsm8k,math,openai/gsm8k,train,4971,"Krishna and Callum are playing a game where they earn 10 points if they win any round. If they played eight matches and Krishna won 3/4 of the matches, what is the total",48,40
gsm8k,math,openai/gsm8k,train,239,"Frank has 7 one-dollar bills, 4 five-dollar bills, 2 ten-dollar bills, and 1 twenty-dollar bill. He goes to buy peanuts, which cost $3 a pound.",74,40
gsm8k,math,openai/gsm8k,train,4878,"Bugs are thriving in a garden of 30 plants. The bugs are very hungry today and completely ate 20 plants. The next day, they were still full and only ate half of the remaining plants.",59,40
gsm8k,math,openai/gsm8k,train,7184,A vendor at the market is selling sunglasses for $30 each. He has to spend a certain amount to buy these sunglasses. He sells 10 pairs in a day. He then takes half his profits and,65,40
gsm8k,math,openai/gsm8k,train,543,"In Mary's class, there are 25 students. Their teacher told them they could pay $50 each to finance a big science project that they and their society would benefit greatly from. They all paid the",61,40
gsm8k,math,openai/gsm8k,train,123,A bulk warehouse is offering 48 cans of sparkling water for $12.00 a case. The local grocery store is offering the same sparkling water for $6.00 and it only has 12 cans.,59,40
gsm8k,math,openai/gsm8k,train,3613,"The balance of Pam's bank account tripled during the year. At the end of the year, Pam withdrew $250. If her current balance is $950, how much did she have in the bank",48,40
gsm8k,math,openai/gsm8k,train,1916,The Donaldsons pay $15 per hour for babysitting. The Merck family pays $18 per hour and the Hille family pays $20 per hour for babysitting. Layla babysat,75,40
gsm8k,math,openai/gsm8k,train,5024,John trains for ultramarathons. He starts only able to run 8 hours straight but eventually increases that by 75%. He also increases his speed of 8 mph by 4 mph. How far can,44,40
gsm8k,math,openai/gsm8k,train,7338,"Joe saves $6,000 for his trip to Australia. If he spends $1,200 on the flight, $800 on a hotel, and $3,000 on food, how much money",49,40
gsm8k,math,openai/gsm8k,train,3752,Lucca has 100 balls and 10 percent of his balls are basketballs. Lucien has 200 balls and 20 percent of them are basketballs. In total how many basketballs do Lucca and,45,40
gsm8k,math,openai/gsm8k,train,418,"Ken had fifty pencils, and he wanted to share some of them with his two friends, Manny and Nilo. Ken gave ten pencils to Manny and ten more pencils to Nilo than",62,40
gsm8k,math,openai/gsm8k,train,3706,"Bobby received his weekly paycheck today. Although his salary is $450 per week, his actual paycheck is reduced in size because there are some taxes, insurance payments, and fees removed from his pay before",111,40
gsm8k,math,openai/gsm8k,train,353,"On Friday, Remy paid Sally’s Woodworking LLC a total of $20,700 for 150 pieces of furniture. Later that evening, the company’s accountant discovered that a new intern",75,40
gsm8k,math,openai/gsm8k,train,3849,"Randy has some money. He spent $10 buying his lunch. He spent a quarter of the money he had left on an ice cream cone. If the ice cream cone cost $5, what",54,40
gsm8k,math,openai/gsm8k,train,1268,"The toothpaste in Anne's family's bathroom contains 105 grams. Anne's dad uses 3 grams at each brushing, her mom uses 2 grams, Anne and her brother use 1 gram each. Each member",65,40
gsm8k,math,openai/gsm8k,train,1274,"At Esme's school, there are 30 teachers and 45 staff members. On a Monday morning, The Best Pizza Inn brought pizza for the staff and teachers as a promotion offer. If 2/3",69,40
gsm8k,math,openai/gsm8k,train,2652,The school band is having a car wash to raise money. Their goal is to collect $150. So far they have earned $10 each from three families and $5 each from 15 families. How,53,40
gsm8k,math,openai/gsm8k,train,7195,"Dorchester works at a puppy wash. He is paid $40 per day + $2.25 for each puppy he washes. On Wednesday, Dorchester earned $76. How many puppies",46,40
gsm8k,math,openai/gsm8k,train,5690,"Fred has 12 identical candy bars, and Uncle Bob has 6 more. If Jacqueline has ten times the total number of candy bars Fred and Uncle Bob have, what's 40% of Jacqueline's",43,40
gsm8k,math,openai/gsm8k,train,1647,Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. They have to travel through the house of mirrors a few times before they finally get out and when they,171,40
gsm8k,math,openai/gsm8k,train,1713,"The hobby store normally sells 21,122 trading cards per month. In June, the hobby store sold 3,922 more trading cards than normal. If the hobby store sold the regular number of trading",59,40
gsm8k,math,openai/gsm8k,train,462,"Roberto and Valerie are jumping rope at recess. Roberto can skip 4,200 times an hour. Valerie can skip 80 times a minute. If they jump rope for fifteen minutes straight, how many sk",45,40
gsm8k,math,openai/gsm8k,train,5214,"Derek was 6 years old when he had three times as many dogs as cars. Ten years later, after selling some of his dogs and buying 210 more cars, the number of cars became twice the",63,40
gsm8k,math,openai/gsm8k,train,2083,James buys pistachios for $10 per can. Each can is 5 ounces. He eats 30 ounces of pistachios every 5 days. How much does he spend on pistachios per week,41,40
gsm8k,math,openai/gsm8k,train,192,Apple sold 100 iPhones at their New York store today for an average cost of $1000. They also sold 20 iPads for an average cost of $900 and 80 Apple TVs for an average cost of $,53,40
gsm8k,math,openai/gsm8k,train,4722,"Jane sews 2 dresses a day for 7 days. Then she sews 3 dresses a day for the next 2 days. In the end, she adds 2 ribbons to each dress. How many",48,40
gsm8k,math,openai/gsm8k,train,2949,The Parker family needs to leave the house by 5 pm for a dinner party. Mrs. Parker was waiting to get into the bathroom at 2:30 pm. Her oldest daughter used the bathroom for 45,79,40
gsm8k,math,openai/gsm8k,train,3326,"The largest animal to have ever lived on earth is the blue whale. The tongue of an adult blue whale can weigh 6000 pounds. If one ton is 2000 pounds, how many tons can the tongue of",46,40
gsm8k,math,openai/gsm8k,train,2247,Billy is counting the rings in two trees. Weather fluctuations in this area mean that each tree's rings are in groups of two fat rings and four thin rings. If Billy counts 70 ring groups in the,68,40
gsm8k,math,openai/gsm8k,train,4089,"Martine has 6 more than twice as many peaches as Benjy. Benjy has one-third as many peaches as Gabrielle. If Martine has 16 peaches, how",46,40
gsm8k,math,openai/gsm8k,train,1699,"A garden is filled with 105 flowers of various colors. There are twice as many red flowers as orange. There are five fewer yellow flowers than red. If there are 10 orange flowers, how many pink",58,40
gsm8k,math,openai/gsm8k,train,5561,The pirates plan to explore 4 islands. Two islands require walking 20 miles per day while the other two islands require 25 miles per day. How many miles will they have to walk if it takes 1.,47,40
gsm8k,math,openai/gsm8k,train,5195,"Era had 5 burgers for her and her 4 friends. She sliced each burger into halves. The first and second friends got 1 and 2 slices, respectively. Then the third and fourth friends got 3",53,40
gsm8k,math,openai/gsm8k,train,3282,"It’s February 2021. Mark was born in January 1976. Graham is 3 years younger than Mark, and Graham’s sister, Janice, is 1/2 the age of Graham",47,40
gsm8k,math,openai/gsm8k,train,6837,Annie was given a pack of crayons. The pack contained 21 crayons. She already had a box of 36 crayons in her locker. Her friend Bobby gave her half the,78,40
gsm8k,math,openai/gsm8k,train,130,Ali had a collection of seashells. He started with 180 seashells. He then gave away 40 seashells to his friends. He also gave 30 seashells to his brothers.,61,40
gsm8k,math,openai/gsm8k,train,583,"When it rains, the three holes in the garage roof leak water at different rates. The largest hole leaks at a rate of 3 ounces of water per minute. The medium-sized hole leaks water at",101,40
gsm8k,math,openai/gsm8k,train,355,Marla has a grid of squares that has 10 rows and 15 squares in each row. She colors 4 rows of 6 squares in the middle of the grid with red. She colors all squares on the,66,40
gsm8k,math,openai/gsm8k,train,5313,"Forest and his friends have prepared a birthday cake for their friend Juelz having 240 cake pieces. After singing the birthday song, they ate 60% of the cake's pieces, and later, J",63,40
gsm8k,math,openai/gsm8k,train,2801,"Borgnine wants to see 1100 legs at the zoo. He has already seen 12 chimps, 8 lions, and 5 lizards. He is next headed to see the tarantulas. How",54,40
gsm8k,math,openai/gsm8k,train,86,Peter goes to the store to buy a soda. The soda costs $.25 an ounce. He brought $2 with him and leaves with $.50. How many ounces of soda did he buy,41,40
